Jan 1, 2017	2,275.12
Dec 1, 2016	2,246.63
Nov 1, 2016	2,164.99
Oct 1, 2016	2,143.02
Sep 1, 2016	2,157.69
Aug 1, 2016	2,170.95
Jul 1, 2016	2,148.90
Jun 1, 2016	2,083.89
May 1, 2016	2,065.55
Apr 1, 2016	2,075.54
Mar 1, 2016	2,021.95
Feb 1, 2016	1,904.42
Jan 1, 2016	1,918.60
Dec 1, 2015	2,054.08
Nov 1, 2015	2,080.62
Oct 1, 2015	2,024.81
Sep 1, 2015	1,944.41
Aug 1, 2015	2,039.87
Jul 1, 2015	2,094.14
Jun 1, 2015	2,099.29
May 1, 2015	2,111.94
Apr 1, 2015	2,094.86
Mar 1, 2015	2,079.99
Feb 1, 2015	2,082.20
Jan 1, 2015	2,028.18
Dec 1, 2014	2,054.27
Nov 1, 2014	2,044.57
Oct 1, 2014	1,937.27
Sep 1, 2014	1,993.23
Aug 1, 2014	1,961.53
Jul 1, 2014	1,973.10
Jun 1, 2014	1,947.09
May 1, 2014	1,889.77
Apr 1, 2014	1,864.26
Mar 1, 2014	1,863.52
Feb 1, 2014	1,817.04
Jan 1, 2014	1,822.36
Dec 1, 2013	1,807.78
Nov 1, 2013	1,783.54
Oct 1, 2013	1,720.03
Sep 1, 2013	1,687.17
Aug 1, 2013	1,670.09
Jul 1, 2013	1,668.68
Jun 1, 2013	1,618.77
May 1, 2013	1,639.84
Apr 1, 2013	1,570.70
Mar 1, 2013	1,550.83
Feb 1, 2013	1,512.31
Jan 1, 2013	1,480.40
Dec 1, 2012	1,422.29
Nov 1, 2012	1,394.51
Oct 1, 2012	1,437.82
Sep 1, 2012	1,443.42
Aug 1, 2012	1,403.45
Jul 1, 2012	1,359.78
Jun 1, 2012	1,323.48
May 1, 2012	1,341.27
Apr 1, 2012	1,386.43
Mar 1, 2012	1,389.24
Feb 1, 2012	1,352.49
Jan 1, 2012	1,300.58
Dec 1, 2011	1,243.32
Nov 1, 2011	1,226.42
Oct 1, 2011	1,207.22
Sep 1, 2011	1,173.88
Aug 1, 2011	1,185.31
Jul 1, 2011	1,325.19
Jun 1, 2011	1,287.29
May 1, 2011	1,338.31
Apr 1, 2011	1,331.51
Mar 1, 2011	1,304.49
Feb 1, 2011	1,321.12
Jan 1, 2011	1,282.62
Dec 1, 2010	1,241.53
Nov 1, 2010	1,198.89
Oct 1, 2010	1,171.58
Sep 1, 2010	1,122.08
Aug 1, 2010	1,087.28
Jul 1, 2010	1,079.80
Jun 1, 2010	1,083.36
May 1, 2010	1,125.06
Apr 1, 2010	1,197.32
Mar 1, 2010	1,152.05
Feb 1, 2010	1,089.16
Jan 1, 2010	1,123.58
Dec 1, 2009	1,110.38
Nov 1, 2009	1,088.07
Oct 1, 2009	1,067.66
Sep 1, 2009	1,044.55
Aug 1, 2009	1,009.73
Jul 1, 2009	935.82
Jun 1, 2009	926.12
May 1, 2009	902.41
Apr 1, 2009	848.15
Mar 1, 2009	757.13
Feb 1, 2009	805.23
Jan 1, 2009	865.58
Dec 1, 2008	877.56
Nov 1, 2008	883.04
Oct 1, 2008	968.80
Sep 1, 2008	1,216.95
Aug 1, 2008	1,281.47
Jul 1, 2008	1,257.33
Jun 1, 2008	1,341.25
May 1, 2008	1,403.22
Apr 1, 2008	1,370.47
Mar 1, 2008	1,316.94
Feb 1, 2008	1,354.87
